date,CC13_01_Nahrungsmittel_und_alkoholfreie_Getränke,CC13_02_Alkoholische_Getränke_und_Tabakwaren,CC13_03_Bekleidung_und_Schuhe,CC13_04_Wohnung_Wasser_Strom_Gas_und_andere_Brennstoffe,CC13_05_Möbel_Leuchten_Geräte_u.a._Haushaltszubehör,CC13_06_Gesundheit,CC13_07_Verkehr,CC13_08_Post_und_Telekommunikation,CC13_09_Freizeit_Unterhaltung_und_Kultur,CC13_10_Bildungswesen,CC13_11_Gaststätten__und_Beherbergungsdienstleistungen,CC13_12_Andere_Waren_und_Dienstleistungen
1992-01-15,3.4285714285714475,3.784860557768921,2.6252983293556076,9.719626168224305,2.8151774785801775,3.6974789915966477,7.182320441988965,6.815286624203809,3.3498759305210957,9.715639810426534,5.149501661129552,4.515050167224088
1992-02-15,3.693181818181812,4.183266932270913,2.741358760429069,9.85130111524164,3.0525030525030417,3.8525963149078635,7.550644567219167,6.815286624203809,3.4188034188034067,11.320754716981153,4.383116883116878,5.008347245409017
1992-03-15,2.824858757062154,5.367793240556673,2.7315914489311144,11.06941838649156,2.9197080291970767,4.013377926421424,8.440366972477076,6.815286624203809,3.166869671132777,10.280373831775712,4.909983633387882,5.166666666666675
1992-04-15,2.8089887640449396,5.35714285714286,2.8469750889679846,11.028037383177569,2.7912621359223344,4.173622704507518,8.34845735027223,3.8390092879256876,4.732254047322537,9.153318077803196,6.382978723404253,5.32445923460898
1992-05-15,3.08988764044944,5.555555555555558,2.7186761229314627,10.555555555555562,2.777777777777768,4.173622704507518,7.942238267148016,3.4674922600619107,3.8413878562577386,6.950672645739919,5.161290322580658,5.657237936772042
1992-06-15,2.6499302649930057,5.952380952380953,2.7186761229314627,10.536044362292053,2.6537997587454676,4.166666666666674,7.913669064748197,3.4674922600619107,3.5582822085889587,6.681514476614692,5.095541401273884,4.94233937397035
1992-07-15,1.6689847009735637,5.731225296442677,2.8368794326241176,10.294117647058831,2.7744270205066313,3.8205980066445155,3.806228373702436,-0.11918951132301459,3.3775633293124274,5.97345132743361,4.665629860031095,4.24836601307188
1992-08-15,1.4025245441795287,5.928853754940722,2.7090694935217874,10.642201834862375,2.644230769230771,3.6363636363636376,3.4482758620689724,-0.11918951132301459,3.8929440389294356,6.62251655629138,4.503105590062106,4.575163398692816
1992-09-15,1.5536723163841915,5.928853754940722,2.8169014084507005,10.60329067641681,2.5179856115107757,3.630363036303619,2.9159519725557415,-0.11918951132301459,4.289215686274517,7.407407407407396,4.754358161648176,4.885993485342022
1992-10-15,1.412429378531077,5.51181102362206,2.686915887850483,3.767123287671237,2.5149700598802394,3.630363036303619,2.9159519725557415,-0.11918951132301459,4.202719406674893,8.278867102396514,4.5958795562599075,5.348460291734192
1992-11-15,0.27932960893854997,3.076923076923088,2.677532013969719,4.2735042735042805,2.508960573476693,2.614379084967311,3.430531732418518,-0.11918951132301459,4.161566707466324,8.714596949891074,4.777070063694278,5.654281098546043
1992-12-15,0.2789400278940146,3.26923076923078,2.677532013969719,4.615384615384621,2.1428571428571352,2.777777777777768,3.6082474226803996,-0.11918951132301459,4.136253041362514,8.714596949891074,5.0793650793650835,5.654281098546043
1993-01-15,0.13812154696131174,5.566218809980805,3.023255813953485,8.858603066439507,2.619047619047632,2.1069692058346856,5.326460481099637,-0.05963029218842841,2.6410564225690214,9.503239740820746,5.529225908372837,6.879999999999997
1993-02-15,0.0,5.544933078393899,3.132250580046403,8.291032148900168,2.4881516587677677,2.741935483870983,5.650684931506866,-0.05963029218842841,2.4793388429751984,8.898305084745761,5.443234836702948,6.518282988871227
1993-03-15,0.27472527472527375,4.150943396226414,3.2369942196531776,8.783783783783793,2.4822695035461084,2.5723472668810254,5.245346869712364,-0.05963029218842841,2.4793388429751984,8.898305084745761,5.616224648985968,6.497622820919169
1993-04-15,0.136612021857907,3.9548022598870025,3.114186851211076,8.417508417508435,2.5974025974025983,2.2435897435897356,4.522613065326619,1.1926058437686349,1.7835909631391145,9.643605870020956,6.000000000000005,6.635071090047395
1993-05-15,0.13623978201633413,3.759398496240607,3.1070195627157515,8.375209380234505,2.585193889541726,2.4038461538461453,4.347826086956519,1.5559545182525447,2.2673031026253065,9.85324947589097,5.521472392638027,6.771653543307088
1993-06-15,0.13586956521740579,3.370786516853941,3.1070195627157515,8.361204013377922,2.585193889541726,2.400000000000002,4.500000000000015,1.795332136445249,2.6066350710900243,9.603340292275586,5.757575757575761,6.750392464678168
1993-07-15,0.1367989056087593,3.364485981308407,2.9885057471264354,8.333333333333325,2.464788732394352,3.0399999999999983,4.833333333333334,1.7303102625298328,2.450408401400228,10.647181628392488,5.943536404160477,7.053291536050166
1993-08-15,0.6915629322268302,3.3582089552238736,2.752293577981635,7.794361525704807,2.2248243559718883,2.8708133971291794,4.833333333333334,1.7303102625298328,3.2786885245901676,11.180124223602505,5.794947994056465,6.875000000000009
1993-09-15,0.8344923504867818,3.5447761194029814,2.6255707762557146,7.768595041322324,2.2222222222222365,2.8662420382165488,4.500000000000015,1.7899761336515496,2.585193889541726,12.170385395537519,5.446293494705001,6.36645962732918
1993-10-15,0.9749303621169991,3.5447761194029814,2.6166097838452806,8.250825082508229,2.219626168224309,3.0254777070063854,4.666666666666663,1.7899761336515496,2.2538552787663146,11.87122736418511,5.454545454545445,5.846153846153834
1993-11-15,1.1142061281337101,3.5447761194029814,2.4943310657596474,7.7049180327869005,2.0979020979021046,3.0254777070063854,4.311774461028195,1.7899761336515496,1.9976498237367801,11.422845691382765,4.863221884498481,5.657492354740046
