date,CC13_01_Nahrungsmittel_und_alkoholfreie_Getränke,CC13_02_Alkoholische_Getränke_und_Tabakwaren,CC13_03_Bekleidung_und_Schuhe,CC13_04_Wohnung_Wasser_Strom_Gas_und_andere_Brennstoffe,CC13_05_Möbel_Leuchten_Geräte_u.a._Haushaltszubehör,CC13_06_Gesundheit,CC13_07_Verkehr,CC13_08_Post_und_Telekommunikation,CC13_09_Freizeit_Unterhaltung_und_Kultur,CC13_10_Bildungswesen,CC13_11_Gaststätten__und_Beherbergungsdienstleistungen,CC13_12_Andere_Waren_und_Dienstleistungen
1991-01-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1991-02-15,100.57142857142858,100.0,100.11933174224346,100.56074766355138,100.24479804161568,100.33613445378151,100.0,100.0,101.61290322580648,100.4739336492891,102.32558139534885,100.16722408026757
1991-03-15,101.14285714285714,100.19920318725097,100.47732696897376,99.62616822429906,100.61199510403918,100.50420168067227,100.3683241252302,100.0,101.86104218362281,101.42180094786728,101.49501661129567,100.33444816053512
1991-04-15,101.71428571428571,100.39840637450199,100.59665871121719,100.0,100.85679314565483,100.67226890756302,101.47329650092082,102.86624203821657,99.62779156327544,103.55450236966826,101.49501661129567,100.50167224080269
1991-05-15,101.71428571428571,100.39840637450199,100.9546539379475,100.93457943925233,101.34638922888617,100.67226890756302,102.02578268876611,102.86624203821657,100.1240694789082,105.68720379146919,102.99003322259135,100.50167224080269
1991-06-15,102.42857142857143,100.39840637450199,100.9546539379475,101.12149532710282,101.46878824969401,100.84033613445378,102.39410681399632,102.86624203821657,101.11662531017372,106.39810426540284,104.31893687707641,101.50501672240804
1991-07-15,102.71428571428571,100.79681274900398,100.9546539379475,101.6822429906542,101.46878824969401,101.17647058823529,106.44567219152854,106.87898089171975,102.85359801488836,107.10900473933648,106.81063122923587,102.34113712374584
1991-08-15,101.85714285714285,100.79681274900398,101.31264916467782,101.86915887850468,101.8359853121175,101.68067226890756,106.81399631675876,106.87898089171975,101.98511166253104,107.34597156398102,106.97674418604652,102.34113712374584
1991-09-15,101.14285714285714,100.79681274900398,101.67064439140812,102.24299065420561,102.08078335373318,101.84873949579831,107.36648250460405,106.87898089171975,101.24069478908189,108.76777251184832,104.8172757475083,102.67558528428094
1991-10-15,101.14285714285714,101.19521912350598,102.14797136038185,109.1588785046729,102.203182374541,101.84873949579831,107.36648250460405,106.87898089171975,100.37220843672459,108.76777251184832,104.8172757475083,103.17725752508362
